model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
vit,ep-ms,Qat,0.29363924,61,43,0.2325581395348837,0.1639344262295081,0.1923076923076923,0.8640511253125868,0.1906552834797409,0.9453125,77,41,0.1707317073170731,0.0909090909090909,0.1186440677966101,0.6809236000462868,0.1098749431766745,0.9322916666666666
vit,ep-ms,Qc,0.41168848,749,876,0.7545662100456622,0.8825100133511349,0.8135384615384615,0.9018021487353745,0.9101798829060176,0.802734375,456,743,0.5679676985195155,0.925438596491228,0.7039199332777314,0.9146198830409356,0.8412538849408582,0.7688802083333334
vit,ep-ms,Qca,0.4067752,432,575,0.6139130434782609,0.8171296296296297,0.7010923535253227,0.9025408447396672,0.8041901988364734,0.8040364583333334,249,341,0.533724340175953,0.7309236947791165,0.6169491525423729,0.8848946680271983,0.589385909604651,0.8528645833333334
vit,ep-ms,Qr,0.49840277,1433,1477,0.951252538930264,0.9804605722260992,0.9656357388316152,0.8737322068577701,0.9892429212024862,0.9348958333333334,1511,1529,0.9843034663178548,0.9960291197882196,0.9901315789473684,0.7825810721376572,0.9951294002504434,0.98046875
vit,plc-ms,af1,0.3053941,571,744,0.5362903225806451,0.6987740805604203,0.6068441064638783,0.7372394580909775,0.619870003350095,0.6634114583333334,435,901,0.3551609322974473,0.735632183908046,0.4790419161676646,0.6627976656540031,0.4707759177679166,0.546875
vit,plc-ms,Qal,0.4533711,950,1321,0.6760030280090841,0.94,0.7864376926464113,0.7683923118376145,0.8499011474363505,0.6842447916666666,845,1477,0.5572105619498985,0.97396449704142,0.7088716623600344,0.6557189220664674,0.7392137257335949,0.5598958333333334
vit,plc-ms,Qaf,0.053313635,13,62,0.032258064516129,0.1538461538461538,0.0533333333333333,0.8130713672407697,0.0382073854706644,0.9537760416666666,6,10,0.0,0.0,0.0,0.5761437908496732,0.0097220264930107,0.9895833333333334
vit,plc-ms,Qat,0.121887244,61,186,0.2096774193548387,0.639344262295082,0.3157894736842105,0.8727868852459016,0.2212835290655828,0.8899739583333334,77,142,0.1690140845070422,0.3116883116883117,0.2191780821917808,0.6777725358945372,0.1178325825769657,0.888671875
vit,plc-ms,Qc,0.36385402,749,896,0.7321428571428571,0.8758344459279038,0.7975683890577507,0.8863694583035746,0.8896663459510026,0.783203125,456,900,0.4522222222222222,0.8925438596491229,0.6002949852507374,0.8335363872644574,0.7050043945375525,0.6471354166666666
vit,plc-ms,Qca,0.43714514,432,531,0.608286252354049,0.7476851851851852,0.6708203530633438,0.8759582159151906,0.7383349058884496,0.7936197916666666,249,302,0.5331125827814569,0.6465863453815262,0.5843920145190563,0.8896315643303594,0.6024334980914435,0.8509114583333334
vit,plc-ms,Qr,0.6808094,1433,1477,0.9478672985781992,0.9769713886950454,0.9621993127147768,0.8382238362048523,0.985564979106337,0.9283854166666666,1511,1528,0.9836387434554974,0.9947054930509596,0.9891411648568608,0.7962409000661813,0.995807240615654,0.978515625
vit,prc-ms,af1,0.33539855,571,566,0.598939929328622,0.5936952714535902,0.5963060686015831,0.7509178516011361,0.6735043237626581,0.701171875,435,665,0.4225563909774436,0.6459770114942529,0.5109090909090909,0.705592616952196,0.5330675629409602,0.6497395833333334
vit,prc-ms,Qal,0.32924914,950,1195,0.7213389121338912,0.9073684210526316,0.8037296037296038,0.814061433447099,0.8773622038814636,0.7259114583333334,845,1393,0.5649676956209619,0.931360946745562,0.7033065236818588,0.6023685765420153,0.6658538319515103,0.5677083333333334
vit,prc-ms,Qaf,0.067311294,13,18,0.0555555555555555,0.0769230769230769,0.064516129032258,0.8747411485428557,0.0596800223982228,0.9811197916666666,6,2,0.0,0.0,0.0,0.5615468409586056,0.0059535062071262,0.9947916666666666
vit,prc-ms,Qat,0.18449897,61,126,0.2222222222222222,0.4590163934426229,0.2994652406417112,0.8866574048346763,0.2152788655107039,0.9147135416666666,77,42,0.0,0.0,0.0,0.5440392369796071,0.0528708687466614,0.9225260416666666
vit,prc-ms,Qc,0.5803258,749,795,0.8641509433962264,0.917222963951936,0.8898963730569949,0.9626711091281388,0.962333304972254,0.8893229166666666,456,582,0.7405498281786942,0.9451754385964912,0.8304431599229287,0.9708800357374918,0.9403145727620426,0.8854166666666666
vit,prc-ms,Qca,0.5538449,432,467,0.7665952890792291,0.8287037037037037,0.796440489432703,0.941592860976919,0.8637463993923039,0.880859375,249,330,0.6,0.7951807228915663,0.6839378238341969,0.9368913103852864,0.69275930682284,0.880859375
vit,prc-ms,Qr,0.5555549,1433,1467,0.9550102249488752,0.977669225401256,0.966206896551724,0.912634909450606,0.9926780568267188,0.9361979166666666,1511,1524,0.98753280839895,0.9960291197882196,0.9917627677100496,0.8964923891462607,0.9977927437591424,0.9837239583333334
vit,s-ms,af1,0.23831221,571,949,0.5163329820864068,0.8581436077057794,0.6447368421052632,0.7797373937188643,0.693786628833411,0.6484375,435,1185,0.3383966244725738,0.92183908045977,0.4950617283950617,0.7138421706494619,0.4769486543870074,0.4674479166666667
vit,s-ms,Qal,0.44435602,950,1051,0.7345385347288297,0.8126315789473684,0.7716141929035483,0.7747098976109216,0.8573838641955422,0.7024739583333334,845,1200,0.5733333333333334,0.8142011834319527,0.6728606356968215,0.5703833737230153,0.6196807297946421,0.564453125
vit,s-ms,Qaf,0.25911936,13,16,0.1875,0.2307692307692307,0.2068965517241379,0.8443355725036619,0.0888023059744016,0.9850260416666666,6,2,0.0,0.0,0.0,0.5888888888888889,0.0051923736446741,0.9947916666666666
vit,s-ms,Qat,0.12639622,61,208,0.173076923076923,0.5901639344262295,0.2676579925650557,0.8438788552375659,0.1601249205652916,0.8717447916666666,77,74,0.0135135135135135,0.0129870129870129,0.0132450331125827,0.4290520993742377,0.0408279472151761,0.9029947916666666
