Run,Feature,gamma (fixed),gamma (run),MMD2,MMD,p-value
1,PrC20,0.0117028449695147,0.0521504764761474,0.0023718570187012,0.0487017147408713,4.348643719308758e-10
1,PrC50,0.0117028449695147,0.0578638732616763,0.0015218428128935,0.0390108037970702,4.782800604635851e-07
1,PrC100,0.0117028449695147,0.0558625604290593,0.001450977408669,0.038091697371856,8.613006854113843e-07
1,PrC200,0.0117028449695147,0.0570281365924864,0.0014323172459854,0.0378459673675467,1.005756821438428e-06
1,S 5,0.0117028449695147,0.0879579638052896,0.0008560394977586,0.0292581526716683,0.0001262718503119
1,S 10,0.0117028449695147,0.0937017460144366,0.0011116864459267,0.0333419622386971,1.4616129063087542e-05
1,S 20,0.0117028449695147,0.1013395102464438,0.0014300231928296,0.0378156474601411,1.0251170703696056e-06
1,S 50,0.0117028449695147,0.1233762281765404,0.0023945662399885,0.0489343053489936,3.610185510771961e-10
1,S 100,0.0117028449695147,0.1364104465895474,0.0037965931150976,0.0616165003476963,3.9084574566348685e-15
1,S 200,0.0117028449695147,0.1348715217210538,0.0065923991821825,0.0811935907703465,5.792076399709363e-25
1,SDS 5,0.0117028449695147,0.0701229797873116,0.0009226722326934,0.030375520286794,7.180216533286532e-05
1,SDS 11,0.0117028449695147,0.0695122143105187,0.0006808535697865,0.0260931709415814,0.0005632542170805
1,SDS 21,0.0117028449695147,0.0683136802454036,0.0007769295969433,0.0278734568531317,0.000247516830211
1,SDS 51,0.0117028449695147,0.0692619197600483,0.0010752903472842,0.0327916200771519,1.983943273437943e-05
1,SDS 101,0.0117028449695147,0.0733695507313075,0.0015274523172829,0.0390826344721399,4.5653753733244825e-07
1,SDS 201,0.0117028449695147,0.0808173166589226,0.0025949229624767,0.0509403863597117,7.000726287147515e-11
1,EP ms,0.0117028449695147,0.0091791074379236,0.0085635820785915,0.0925396243702746,7.224418438155713e-32
1,PlC ms,0.0117028449695147,0.0078472852802657,0.0130452164981771,0.1142156578503014,1.5783318248841954e-47
1,PrC ms,0.0117028449695147,0.0077131921176057,0.0052320879115593,0.0723331729675904,3.4490381614078683e-20
1,S ms,0.0117028449695147,0.0160729719792094,0.0036253968746484,0.0602112686683186,1.5716396009415702e-14
1,SDS ms,0.0117028449695147,0.0109974617370601,0.0016908718182917,0.0411202117977487,1.1798011121284497e-07
2,DEM,0.0117028449695147,0.0724332614952333,0.0755784565522532,0.274915362525002,3.6019954900094016e-265
2,RGB,0.0117028449695147,0.0215721464943529,0.0195120307592336,0.1396854708236816,4.4032471468961985e-70
2,RGB+NIR,0.0117028449695147,0.0132885253711675,0.0446030006869031,0.2111942250320854,1.9518414473207072e-157
2,NHD,0.0117028449695147,0.0152538750000003,0.0019181886125812,0.0437971301865915,1.8075626732907343e-08
2,OSM,0.0117028449695147,0.003968,0.0009613418563306,0.0310055133215151,5.1789069107651224e-05
2,EP 5,0.0117028449695147,0.106844698908071,0.0032512232346428,0.0570194987231815,3.302413614246226e-13
2,EP 11,0.0117028449695147,0.103189654304438,0.0015245393754245,0.0390453502407715,4.677015323159083e-07
2,EP 21,0.0117028449695147,0.0818758903196071,0.0046896942539806,0.0684813423786409,2.786659615593984e-18
2,EP 51,0.0117028449695147,0.0625017481792177,0.0098263914504047,0.0991281566983104,2.767423282792284e-36
2,EP 101,0.0117028449695147,0.0526914700751057,0.0083685943846224,0.0914800217786511,3.476595022614239e-31
2,EP 201,0.0117028449695147,0.0496207716061884,0.0038667690026011,0.0621833498824334,2.210002224467044e-15
2,PlC 5,0.0117028449695147,0.052397772388696,0.0199252060084662,0.1411566718524713,1.598628831804529e-71
2,PlC 10,0.0117028449695147,0.0600582330995326,0.0139481649488416,0.1181023494636818,1.1135217432013848e-50
2,PlC 20,0.0117028449695147,0.0601265791488794,0.0135320828645313,0.1163274811234703,3.1535837039271615e-49
2,PlC 50,0.0117028449695147,0.0601978396880688,0.0063170606236104,0.0794799384977773,5.351378016247576e-24
2,PlC 100,0.0117028449695147,0.0749043223938987,0.0004650598793656,0.0215652470276978,0.0036686291954513
2,PlC 200,0.0117028449695147,0.071595610634219,-7.261969705349047e-05,,1.0
2,PrC 5,0.0117028449695147,0.0578705774250392,0.0010425839978427,0.0322890693245061,2.6117565196999196e-05
2,PrC10,0.0117028449695147,0.0522072618581957,0.0019907887664825,0.0446182559775991,9.941697969310144e-09
2,PrC20,0.0117028449695147,0.0522841332031721,0.0022829536935228,0.0477802646866138,9.014431203408612e-10
2,PrC50,0.0117028449695147,0.057740907185397,0.0016830499523464,0.0410249918019054,1.2586244503732098e-07
2,PrC100,0.0117028449695147,0.0547494597179571,0.0013801868711647,0.037150866358199,1.5515728542231596e-06
2,PrC200,0.0117028449695147,0.0554571409040013,0.0012434000114966,0.0352618775946016,4.853112717399411e-06
