input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
s-10,single_sa,0.6159124687582525,0.7332159428642846,0.6491219170055479,0.8810016550718294,0.6997682883535145,0.8626302083333334,0.5135125643126922,0.6998866299165407,0.5833483545499135,0.8198454499313186,0.6185268962622548,0.8403087797619048
s-100,single,0.551728282597614,0.7491583621056331,0.6146131338120712,0.8238827871234056,0.6318009580984268,0.8080357142857143,0.4542083841295888,0.6838004133470266,0.5277154829028559,0.7213865254936003,0.5295588959525371,0.7919456845238095
s-100,single_sa,0.5472084715766562,0.7175412638360932,0.6053411164578612,0.8201531092398496,0.6137060327853602,0.8131510416666666,0.4760282079272258,0.6575401916247439,0.5294021701609349,0.7408753058133922,0.5324831314475221,0.7952938988095238
s-20,single,0.6340439086842181,0.6507235738162966,0.6399925137948222,0.8706398063245928,0.6850395873217291,0.8716517857142857,0.5184523088151257,0.583637752154034,0.5411548457684737,0.7965092803078117,0.5803745337829661,0.8587239583333334
s-20,single_sa,0.6006200078240527,0.6765450284741499,0.628659796052524,0.8762281201424881,0.6758629053343553,0.8604910714285714,0.5233440013913478,0.6811537478709605,0.5860250170999457,0.7815876688102726,0.5901260660710543,0.8485863095238095
s-200,single,0.519155382898239,0.8138554073542473,0.6029368709333885,0.8212685831262212,0.6081855851908141,0.7900855654761905,0.4542831236730819,0.6900684237788123,0.5323484072183055,0.692816852067093,0.518636701156253,0.783203125
s-200,single_sa,0.5141572882431856,0.7445521170208701,0.5877842203578296,0.8066909419993902,0.5871380637479459,0.7889694940476191,0.4529576651577795,0.6704518193998582,0.5230269006210514,0.6876568431868544,0.5161231317795435,0.7814360119047619
s-5,single,0.643111123667916,0.6891197939436511,0.6551594257306638,0.8754855204939951,0.6907863907190226,0.8803943452380952,0.5494967727401489,0.6986588654896119,0.5982727813615144,0.8091085606266374,0.635837956286988,0.8598400297619048
s-5,single_sa,0.6371878434875394,0.6898509160395623,0.6492938946955362,0.8897310834632324,0.7029568291471859,0.8729538690476191,0.5353449351124892,0.6996215568238401,0.5880723274860872,0.825067467693927,0.6238660016154247,0.853515625
s-50,single,0.5767402337464931,0.7138261120699093,0.6270958866896098,0.8442024590288665,0.660036171401316,0.8385416666666666,0.5121574579045847,0.6743499462091612,0.5691953147958092,0.8147688708084776,0.5746518453261482,0.8192894345238095
