seed,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
128,resnext50_32x4d,s-10,none,0.6276927296676348,0.7142966927174517,0.6629096149827032,0.88729293667158,0.7091824346373606,0.8718377976190477,0.5259744112644805,0.6946267245226375,0.5924289473401843,0.8130369060940126,0.6126418485957987,0.8523995535714286
256,resnext50_32x4d,s-10,none,0.6105070353293557,0.7034134167461401,0.6389731492491204,0.8814839597847725,0.6881787050915903,0.8642113095238095,0.533460900854101,0.6988864136014727,0.5998821544796931,0.8225583016038857,0.6221121314412088,0.8586309523809523
42,vit_b_16,s-5,none,0.6002788627165724,0.7140163062081143,0.6463202557368417,0.8720847755234548,0.6771678307680016,0.8608630952380952,0.5167301663867842,0.6870961566613712,0.5850617800081427,0.8017910776515523,0.6144143506896459,0.8501674107142857
90,vit_b_16,s-5,none,0.6204722951078834,0.7328344506086407,0.6538891464731947,0.869351696034324,0.6930029149622248,0.8642113095238095,0.526758644586982,0.6861561919185385,0.5909969594341745,0.8316904951412568,0.6096735656785388,0.8518415178571429
128,vit_b_16,s-5,none,0.6011368928584023,0.686651687650991,0.6284764508317185,0.8638777474558459,0.6853222329584884,0.8667224702380952,0.5010329125623787,0.6968738239989036,0.5728373503944547,0.8006405027121427,0.6001103103799746,0.8419828869047619
256,vit_b_16,s-5,none,0.6248847347306026,0.6855868484697123,0.6377091958193771,0.8630263327871662,0.6856846317366296,0.8661644345238095,0.5192170936812738,0.6726525137075395,0.5746283291623167,0.8010801369635627,0.6055972868982066,0.8357514880952381
42,vit_b_16,s-ms,stacking,0.6123494840128237,0.6840361201824473,0.6448152571699112,0.8781298313062258,0.6889345734018261,0.8697916666666666,0.4943148582848273,0.6766984242965138,0.5650747233155432,0.7646933863492703,0.582470716176038,0.8449590773809523
90,vit_b_16,s-ms,stacking,0.599188918870592,0.7375919237545906,0.6513823555659081,0.8828891026603962,0.6783910386628572,0.8577938988095238,0.5138158396022506,0.7079601207016462,0.5884351197890492,0.8174192529859831,0.6073569706059262,0.8404947916666666
128,vit_b_16,s-ms,stacking,0.6426810221777634,0.7034448414869247,0.6631887874374371,0.8828440737890003,0.693765763422261,0.8719308035714286,0.5228988170943155,0.6679061745611584,0.5819480459942982,0.8072144728520215,0.6079717696938495,0.8555617559523809
256,vit_b_16,s-ms,stacking,0.630887357985317,0.6799144920411678,0.651064542003391,0.8793695988972944,0.70791494389947,0.8689546130952381,0.5073349244360188,0.6516127028791926,0.5653195274437381,0.8065409685586078,0.5936235434549706,0.8533296130952381
