model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
resnet50,s200,0.5291239519659596,0.4806712730711462,0.7328065025058296,0.6617064231562492,0.5970522709387124,0.5379931732148687,0.0590590977238436,0.5876252550605291,0.5218636863352311,0.065761568725298,0.8136087518728413,0.7073270854813553,0.8031063988095238,0.7926897321428571
resnet50,s20,0.5785563932130017,0.4994637583575576,0.663132073271724,0.663392414071489,0.6137249717213449,0.5656959245903067,0.0480290471310381,0.6635921686747915,0.568297423841038,0.0952947448337535,0.8638029454586772,0.7876611987250285,0.8557477678571429,0.8353794642857143
resnet50,s50,0.5517069939219506,0.477052266755967,0.7708287269477434,0.7233492983461606,0.6241211662700997,0.5585297820670895,0.0655913842030102,0.6584175450329849,0.558884393324174,0.0995331517088109,0.8366326620743553,0.7773254274363859,0.8178013392857143,0.7909226190476191
resnet50,s5,0.5827434613577356,0.4655392158224781,0.7462233568690433,0.7202988936847172,0.6340896085176704,0.5485180664019145,0.0855715421157559,0.6881687160868711,0.5726008480173681,0.115567868069503,0.864420558778422,0.8028505429006856,0.8451450892857143,0.8078497023809523
resnet50,sds101,0.5256438939238267,0.4446643805072498,0.7002756573412395,0.6658133878116087,0.5779602447537017,0.5198075025573293,0.0581527421963723,0.6037627056429574,0.486583803077746,0.1171789025652114,0.7853218687120437,0.7040470008318575,0.8051525297619048,0.7731584821428571
resnet50,sds11,0.5632203628058475,0.4780770030815061,0.7107349716274843,0.6833379971092332,0.6151918996728565,0.5546870998966285,0.060504799776228,0.6461835183804473,0.5551775282081941,0.0910059901722531,0.8349270291960005,0.731470563526394,0.833984375,0.8200334821428571
resnet50,sds201,0.5209156110802684,0.4560578044448792,0.6964593396030391,0.6510638930668604,0.5779542422946539,0.5207933632685225,0.0571608790261313,0.5866217555283455,0.5052130936740851,0.0814086618542604,0.7667499628236841,0.7362887824190093,0.8005022321428571,0.7821800595238095
resnet50,sds21,0.5473106303061802,0.4447781676153647,0.7099473916384006,0.6493925863866327,0.6081303877985046,0.5202202490902778,0.0879101387082268,0.6465388182941982,0.5301444084281938,0.1163944098660044,0.8432136359476176,0.6798400141738077,0.8272879464285714,0.8073846726190477
resnet50,sds51,0.5496999929388322,0.4599533942433995,0.7002830583340206,0.720564310455002,0.6066384451519982,0.549963498912922,0.0566749462390762,0.6185711723464322,0.5600996616175279,0.0584715107289043,0.8005509910238248,0.7512278996537248,0.8213355654761905,0.8028273809523809
resnet50,sds5,0.5614401813661768,0.4606603804469867,0.7119893444910793,0.6876841862975723,0.6222264566842545,0.544047799394667,0.0781786572895875,0.6475611215081225,0.5679906481524978,0.0795704733556247,0.8340926224851016,0.7106559037323944,0.8388206845238095,0.8154761904761905
